,Location.No.,Road.Name,Lat,Long,Survey.Date,District,road_width,crash_count,outcome,car_vol,mtw_vol,m3w_vol,bus_vol,LCV_vol,HCV_vol,cycle_vol,cyr_vol,ecyr_vol,total_vol,origin_segment_for_speed_calculation,destination_segment_for_speed_calculation,speed_00.30,speed_01.30,speed_02.30,speed_03.30,speed_04.30,speed_05.30,speed_06.30,speed_07.30,speed_08.30,speed_09.30,speed_10.30,speed_11.30,speed_12.30,speed_13.30,speed_14.30,speed_15.30,speed_16.30,speed_17.30,speed_18.30,speed_19.30,speed_20.30,speed_21.30,speed_22.30,speed_23.30,average_speed,pop_100m_buffer,length_segment
39,39,Azad Hind Fauz Marg ,28.60964,77.03454,05-03-2018,South West ,10,0,0,6245,9016,745,371,197,110,547,79,303,17613,"28.611378295085, 77.03396494089915","28.60790764492048, 77.03509876240726",45.1125,42.45882353,43.74545455,46.56774194,48.12,46.56774194,43.74545455,35.2097561,39.01621622,35.2097561,37.98947368,35.2097561,37.01538462,36.09,40.1,41.24571429,39.01621622,37.98947368,36.09,35.2097561,36.09,37.98947368,39.01621622,42.45882353,39.88598888,2046.0934,2821.54
40,40,Dabri Gurgaon Road ,28.58505,77.06431,05-03-2018,South West ,11,1,1,3859,3662,537,279,157,90,349,136,452,9521,"28.583277311002256, 77.06289110293491","28.5862265871869, 77.06538869297243",32.00869565,34.24186047,35.91219512,36.81,37.75384615,34.24186047,30.675,26.29285714,23.7483871,23.00625,21.03428571,18.17777778,20.16986301,21.03428571,16.73181818,23.37142857,23.37142857,22.30909091,20.16986301,19.632,21.65294118,24.9559322,26.77090909,30.04897959,26.00506482,661.04556,2295.69
41,41,August Kranti Marg ,28.56079,77.2216,06-03-2018,South ,9,0,0,8468,4841,2798,233,234,79,406,97,2,17158,"28.559624650983153, 77.22003670391265","28.562194398123417, 77.22289950951992",39.21081081,39.21081081,40.3,41.45142857,39.21081081,42.67058824,40.3,37.2,36.27,31.53913043,29.60816327,29.60816327,29.016,29.016,29.016,29.60816327,29.60816327,29.016,28.44705882,26.86666667,29.016,33.73953488,33.73953488,36.27,33.7474595,2547.349684,6227.87
42,42,Lal Bahadur Shastri Marg ,28.53885,77.232,06-03-2018,South ,13,0,0,11302,6749,4213,753,351,215,498,75,8,24164,"28.537058479631032, 77.23200436281282","28.540682723049496, 77.232048263725",26.93333333,28.51764706,27.96923077,29.088,29.088,30.3,27.96923077,25.07586207,20.2,8.657142857,8.868292683,12.22184874,12.43076923,13.22181818,13.98461538,18.18,12.53793103,9.323076923,7.614659686,9.505882353,15.15,22.725,25.51578947,26.93333333,19.25047766,833.525532,1729.78
43,43,Mahatma Gandhi Marg ,28.65981,77.12915,07-03-2018,West ,15,0,0,14629,6142,1810,568,1077,680,21,5,9,24941,"28.65826392646286, 77.12822185036603","28.661617422106506, 77.12929214217789",43.74545455,43.74545455,45.1125,45.1125,46.56774194,46.56774194,48.12,48.12,45.1125,41.24571429,39.01621622,35.2097561,29.46122449,32.80909091,28.872,30.075,24.88965517,19.50810811,14.436,11.64193548,13.12363636,20.92173913,41.24571429,39.01621622,34.73649582,1475.766364,1219.84
44,44,Mahatma Gandhi Marg ,28.6808,77.14271,07-03-2018,North West ,15,0,0,17507,8918,3231,869,1872,707,368,188,69,33729,"28.679216320106292, 77.1417618360667","28.68189913541494, 77.14439213848948",48.48,51.94285714,51.94285714,51.94285714,50.15172414,53.86666667,51.94285714,51.94285714,48.48,45.45,44.07272727,38.27368421,35.47317073,38.27368421,38.27368421,39.30810811,37.29230769,37.29230769,35.47317073,29.088,27.44150943,36.36,44.07272727,44.07272727,42.95460356,2956.288504,1038.28
45,45,Vikaspuri Flyover ,28.66392,77.09197,08-03-2018,West ,11,0,0,7867,7439,1076,105,451,156,390,140,56,17680,"28.660697987731645, 77.0914743488647","28.664272254544034, 77.09200623682645",37.01538462,39.01621622,41.24571429,41.24571429,45.1125,62.76521739,57.744,57.744,55.52307692,51.55714286,51.55714286,51.55714286,51.55714286,51.55714286,49.77931034,51.55714286,51.55714286,51.55714286,48.12,48.12,48.12,49.77931034,53.46666667,40.1,49.47309392,2865.46237,7727.07
46,46,Rohtak Road ,28.67853,77.10393,08-03-2018,West ,15,1,1,7459,10742,2296,627,2070,660,717,328,294,25193,"28.67880440897404, 77.10191156080614","28.67822171207053, 77.10595757902122",30,34.28571429,34.28571429,35.12195122,37.89473684,37.89473684,28.8,26.66666667,24.40677966,21.81818182,20.86956522,20,20.28169014,21.17647059,20.86956522,23.22580645,10.99236641,14.84536082,13.09090909,14.4,13.98058252,18.46153846,21.17647059,17.14285714,23.40365268,1550.720812,5886.42
47,47,Outer Ring Road ,28.64879,77.24576,09-03-2018,Central ,17,1,1,10011,4007,5165,961,1265,271,140,203,21,22044,"28.646858824182523, 77.2464250097712","28.65030572346394, 77.2451548504624",36.27,36.27,35.38536585,36.27,38.17894737,34.54285714,36.27,34.54285714,34.54285714,34.54285714,30.86808511,25.45263158,24.18,31.53913043,31.53913043,32.24,31.53913043,28.44705882,27.9,26.86666667,27.9,33.73953488,36.27,33.73953488,32.45986021,2391.43798,2382.81
48,48,GT Karnal Road ,28.66679,77.21719,09-03-2018,Central ,12,0,0,4545,8476,2464,431,1163,145,200,429,164,18017,"28.66734565129588, 77.21451514263272","28.66672986886275, 77.2175708769846",35.53548387,37.9862069,37.9862069,39.34285714,40.8,39.34285714,36.72,34.425,30.6,20.02909091,7.597241379,8.8128,9.18,9.415384615,14.88648649,12.10549451,8.8128,9.579130435,18.36,19.67142857,17.48571429,25.03636364,31.47428571,32.4,24.06603469,3015.494418,1258.69
49,49,Nangloi Najafgarh ,28.62528,76.99225,12-03-2018,South West ,8,1,1,2407,4219,125,388,192,381,272,202,228,8414,"28.6240316913596, 76.99077041452716","28.626505851945844, 76.99376406372542",36.09,36.09,37.01538462,36.09,37.01538462,35.2097561,35.2097561,35.2097561,33.57209302,35.2097561,30.71489362,30.075,30.71489362,30.71489362,30.71489362,32.08,32.08,32.80909091,33.57209302,28.30588235,28.872,28.872,31.3826087,32.80909091,32.93455113,1951.65832,2121.54
50,50,Delhi Rohtak Road ,28.68266,77.02728,12-03-2018,West ,14,3,1,6512,4931,152,295,1160,1002,216,79,72,14419,"28.682797966165225, 77.02520894033366","28.682491607235978, 77.02931309228553",35.29756098,39.11351351,38.08421053,38.08421053,39.11351351,38.08421053,31.46086957,28.944,24.95172414,21.92727273,20.67428571,12.16134454,17.22857143,15.075,19.296,20.1,20.67428571,21.92727273,14.472,14.76734694,18.79480519,22.97142857,24.52881356,30.79148936,25.35515541,2932.885014,12748.02
51,51,Outer Ring Road ,28.68601,77.22898,13-03-2018,Central ,13,0,0,13917,9540,2263,656,1565,991,1067,48,9,30056,"28.687830373959358, 77.22881689147535","28.684229558419986, 77.22911783415621",48.24,51.68571429,51.68571429,51.68571429,51.68571429,51.68571429,51.68571429,51.68571429,45.225,40.2,39.11351351,32.16,30.15,32.16,35.29756098,42.56470588,43.85454545,45.225,46.68387097,45.225,43.85454545,48.24,48.24,45.225,44.72744759,270.060516,3627.16
52,52,Outer Ring Road ,28.71779,77.2257,13-03-2018,Central ,17,0,0,24073,19806,4226,2309,3263,901,592,99,59,55328,"28.719036408658834, 77.22421381611848","28.7161055434661, 77.22637232350603",36.27,42.67058824,41.45142857,42.67058824,43.96363636,45.3375,45.3375,46.8,42.67058824,38.17894737,38.17894737,10.90827068,9.869387755,14.08543689,26.37818182,32.24,25.0137931,41.45142857,40.3,39.21081081,37.2,40.3,39.21081081,20.15,34.9936602,945.211806,1916.84
53,53,MDR 57 ,28.67579,77.2946,14-03-2018,Shahdara ,9,0,0,1490,4074,310,421,186,476,497,531,192,8177,"28.675714420791348, 77.2966451268015","28.675678106943185, 77.29256722153855",23.22580645,22.85714286,26.18181818,25.71428571,28.8,28.8,27.16981132,25.26315789,24.82758621,24,20,19.45945946,20.86956522,19.7260274,20.86956522,21.81818182,22.5,21.49253731,20.28169014,19.45945946,20.86956522,21.49253731,21.49253731,23.22580645,22.93318921,8919.483789,4668.2
54,54,Wazirabad Road ,28.70045,77.29563,14-03-2018,North East ,12,0,0,4429,14390,2236,452,848,264,1211,340,196,24366,"28.70009555966268, 77.29762220173755","28.70071205800361, 77.29359161475143",44.8875,41.04,44.8875,44.8875,44.8875,43.52727273,36.83076923,35.91,35.03414634,34.2,32.64545455,30.56170213,31.22608696,29.925,30.56170213,32.64545455,32.64545455,33.40465116,28.16470588,23.16774194,20.8173913,27.62307692,34.2,39.9,34.73252543,8645.406521,4074.66
55,55,Dharampura ,28.67224,77.25773,15-03-2018,North East ,14,1,1,4884,7891,1750,470,1336,662,407,512,556,18468,"28.671852993469198, 77.260019037225","28.672491651786746, 77.2559918794215",31.92,32.64545455,31.22608696,31.92,37.8,31.22608696,30.56170213,31.22608696,29.31428571,28.728,25.65,27.62307692,29.31428571,29.31428571,29.925,28.728,26.6,26.11636364,25.2,25.2,28.16470588,26.11636364,29.31428571,31.92,29.4064196,12529.57999,2141
56,56,Chaudhary Charan Singh Marg ,28.65578,77.31986,15-03-2018,Shahdara ,15,0,0,11568,16581,2048,575,610,361,764,118,67,32692,"28.657614103267832, 77.31999373269696","28.653988036657896, 77.319742888426",50.15172414,48.48,50.15172414,50.15172414,50.15172414,50.15172414,51.94285714,50.15172414,46.91612903,46.91612903,45.45,45.45,45.45,46.91612903,46.91612903,46.91612903,46.91612903,46.91612903,46.91612903,44.07272727,45.45,45.45,46.91612903,48.48,47.64087877,1597.64956,816.5
57,57,Abdul Gaffar Khan Marg ,28.51239,77.16615,16-03-2018,South ,13,2,1,8426,6198,2241,281,460,212,470,150,1,18439,"28.513873286109142, 77.16495539983998","28.511047719488186, 77.16747460908914",39.11351351,35.29756098,40.2,40.2,38.08421053,40.2,37.10769231,33.65581395,34.45714286,32.89090909,32.89090909,32.16,31.46086957,32.16,32.16,33.65581395,32.16,32.16,30.79148936,28.944,28.944,32.16,35.29756098,38.08421053,34.34315403,786.595712,3989.8
58,58,Mehrauli Badarpur Road ,28.5192,77.20819,16-03-2018,South ,13,0,0,10200,16395,4136,406,551,264,1014,211,1,33178,"28.51870343438524, 77.21057028076363","28.519587967295276, 77.20657944733075",40.2,40.2,41.34857143,41.34857143,45.225,43.85454545,37.10769231,35.29756098,32.89090909,28.944,27.83076923,28.944,29.53469388,30.15,29.53469388,32.16,30.15,29.53469388,23.72459016,16.82790698,19.296,27.30566038,34.45714286,37.10769231,32.62394559,2183.04306,1680.6
59,59,Shalimar Bagh Flyover ,28.70619,77.1726,19-03-2018,North ,12,1,1,5004,6539,1283,132,713,570,585,366,1041,16233,"28.704751275535475, 77.17137608009301","28.707681948705076, 77.17379844254658",46.8,48.36,48.36,48.36,48.36,51.81428571,51.81428571,50.02758621,48.36,48.36,45.3375,40.3,41.45142857,41.45142857,42.67058824,42.67058824,41.45142857,43.96363636,41.45142857,40.3,39.21081081,42.67058824,43.96363636,45.3375,45.11861334,1421.29255,3909.69
60,60,GT Karnal Road ,28.70274,77.18218,19-03-2018,North ,9,0,0,1749,6097,1083,170,798,202,1285,877,2528,14789,"28.704222782280628, 77.18097777217545","28.70126133656614, 77.1833254802445",20.92173913,20.62285714,21.54626866,22.20923077,24.46779661,24.88965517,21.54626866,18.50769231,16.59310345,15.69130435,14.88247423,14.88247423,15.69130435,15.86373626,16.40454545,16.40454545,15.52258065,16.59310345,15.52258065,15.86373626,16.78604651,19.248,20.92173913,22.20923077,18.4913339,4260.103158,2293.79
61,61,Lala Lajpat Narayan Marg ,28.69606,77.14521,20-03-2018,North West ,12,1,1,10760,8663,1215,255,344,110,310,192,179,22028,"28.69688688976101, 77.14335884436599","28.695291934696172, 77.14705221294166",38.08421053,42.56470588,43.85454545,46.68387097,48.24,49.90344828,45.225,33.65581395,28.37647059,22.26461538,18.55384615,20.38309859,23.34193548,24.52881356,23.72459016,24.52881356,24.52881356,25.84285714,24.12,23.72459016,23.72459016,27.30566038,31.46086957,35.29756098,31.24661335,2672.029994,4459.75
62,62,GT Karnal Road ,28.7691,77.14448,21-03-2018,North ,14,0,0,12675,5977,462,766,2630,1871,52,12,24,24469,"28.770867639300636, 77.14393224443812","28.767388224980625, 77.14497030519487",65.45454545,65.45454545,65.45454545,62.60869565,62.60869565,68.57142857,62.60869565,60,53.33333333,53.33333333,49.65517241,46.4516129,46.4516129,48,46.4516129,49.65517241,49.65517241,49.65517241,48,46.4516129,49.65517241,53.33333333,53.33333333,62.60869565,54.9493956,738.027325,23738.57
63,63,Bawana Road ,28.79461,77.03656,21-03-2018,North ,8,0,0,2789,3551,152,204,781,251,888,84,263,8963,"28.79629786205027, 77.03574822756978","28.79309640306416, 77.03763113829933",35.38536585,34.54285714,30.86808511,32.24,31.53913043,31.53913043,30.86808511,29.016,22.66875,23.4,22.32,22.32,22.32,23.02857143,23.02857143,25.45263158,26.37818182,25.45263158,23.02857143,21.65373134,23.4,26.37818182,30.86808511,30.86808511,27.02352695,1265.1897,1041.32
64,64,GT Karnal Road ,28.72477,77.16365,22-03-2018,North ,11,0,0,2892,4783,1258,542,1394,448,715,561,2557,15150,"28.726305654760274, 77.16251236934127","28.723265038948135, 77.16475516776823",26.86666667,32.97272727,32.97272727,35.38536585,35.38536585,32.97272727,25.45263158,23.78360656,21.98181818,21.98181818,19.60540541,14.22352941,16.67586207,21.02608696,21.65373134,23.02857143,23.02857143,23.78360656,23.02857143,20.15,22.32,23.4,24.18,23.4,24.55247461,4036.470842,5514.54
65,65,Outer Ring Road ,28.73638,77.1712,22-03-2018,North ,15,1,1,24184,5859,1151,618,3554,1293,1,1,4,36665,"28.737057346360967, 77.16929400988958","28.735691871553765, 77.17310286485997",55.52307692,57.744,57.744,57.744,57.744,60.15,62.76521739,62.76521739,57.744,57.744,55.52307692,48.12,49.77931034,51.55714286,51.55714286,53.46666667,53.46666667,55.52307692,53.46666667,53.46666667,51.55714286,55.52307692,55.52307692,53.46666667,55.40266215,1078.295092,1754
66,66,Outer Ring Road ,28.69933,77.12288,23-03-2018,North West ,12,0,0,10216,9890,1316,198,1343,633,599,123,198,24516,"28.698693820303493, 77.12098975003026","28.70007637843427, 77.12476573913685",49.53103448,51.3,49.53103448,51.3,51.3,53.2,51.3,49.53103448,43.52727273,35.91,31.22608696,19.67671233,15.12,16.70232558,22.8,31.22608696,29.31428571,39.9,19.95,10.9648855,7.041176471,14.364,44.8875,19.95,33.73139315,3183.695312,5524.26
67,67,Sir Chotu Ram Marg ,28.70706,77.10351,23-03-2018,North West ,7,0,0,2790,5499,726,262,146,50,667,260,2889,13289,"28.705628353649246, 77.10226059685353","28.70847818379248, 77.10478005822209",30.075,32.08,33.57209302,32.80909091,33.57209302,28.872,28.872,26.73333333,25.77857143,24.06,22.55625,22.91428571,22.91428571,22.55625,21.87272727,24.46779661,23.28387097,22.20923077,20.33239437,19.50810811,19.248,21.22941176,24.46779661,28.30588235,25.512103,3752.212332,5052.71
68,68,Grand Trunk Road ,28.69363,77.21892,24-03-2018,Central ,12,1,1,6832,6566,2048,666,904,186,322,221,412,18157,"28.69431098129622, 77.2169829672805","28.69272379545146, 77.22063155463285",32.24,32.24,30.86808511,32.97272727,33.73953488,34.54285714,24.58983051,23.78360656,20.43380282,17.91111111,16.48636364,16.12,16.12,16.67586207,17.06823529,17.47951807,18.135,15.1125,15.94285714,15.27157895,15.1125,16.67586207,19.60540541,26.37818182,21.89605916,675.15129,3044.47
69,69,Outer Ring Road ,28.70062,77.22753,24-04-2018,Central ,14,0,0,19168,11041,3104,787,2436,1260,1368,60,57,39281,"28.702443864422, 77.2275612293706","28.69885159511955, 77.22740666240006",38.91891892,42.35294118,46.4516129,43.63636364,43.63636364,40,38.91891892,42.35294118,32.72727273,13.58490566,12.85714286,14.84536082,15.31914894,23.22580645,32.72727273,30,33.48837209,33.48837209,26.66666667,30.63829787,28.23529412,31.30434783,30.63829787,35.12195122,31.71402376,2970.665676,1442.92
70,70,Anuvart Marg ,28.51895,77.18932,03-05-2018,South ,14,0,0,14842,12029,2309,349,635,310,502,109,0,31085,"28.51729091076728, 77.18875823653201","28.520776325112074, 77.18948916498533",46.4516129,49.65517241,48,48,49.65517241,49.65517241,49.65517241,48,43.63636364,41.14285714,40,40,40,41.14285714,41.14285714,40,38.91891892,40,37.89473684,35.12195122,34.28571429,38.91891892,42.35294118,43.63636364,42.80278261,238.150152,1497.6
71,71,Ring Road ,28.58533,77.172,04-05-2018,New Delhi ,15,0,0,22997,16965,4084,1249,1237,604,114,39,4,47293,"28.583751289998347, 77.17291208414444","28.586951787744805, 77.17099291090864",40.3,45.3375,43.96363636,42.67058824,45.3375,46.8,46.8,42.67058824,37.2,37.2,35.38536585,31.53913043,30.225,29.60816327,26.86666667,29.60816327,26.86666667,23.4,21.02608696,22.66875,26.86666667,30.86808511,35.38536585,36.27,34.78599682,532.108864,2642.01
72,72,Mathura Road,28.62289,77.24061,04-05-2018,New Delhi,12,0,0,3183,2657,2376,381,41,20,107,37,14,8816,"28.624623682093272, 77.2407183162546","28.62109818501436, 77.24049240136596",36,35.12195122,36.92307692,37.89473684,41.14285714,38.91891892,36,35.12195122,32,28.8,23.60655738,24.82758621,25.71428571,28.8,28.8,30.63829787,27.69230769,27.69230769,28.8,27.69230769,29.3877551,34.28571429,35.12195122,36,31.9576068,350.328225,1151.97
73,73,Jhandewalan to Rajendra Palace,28.64402983,77.18838939,03-07-2019,1,11,0,0,6139,8148,2694,536,291,39,137,1683,0,19667,"28.64378624043819, 77.18636480639783","28.644377908341127, 77.19043387889667",27.37358491,29.60816327,29.60816327,30.225,36.27,41.45142857,32.97272727,23.4,21.65373134,18.84155844,14.22352941,13.5588785,13.07027027,11.42362205,15.1125,14.80408163,14.08543689,14.95670103,14.95670103,13.81714286,15.1125,19.344,21.98181818,25.0137931,21.36938883,10867.58277,2195.2
76,77,Inderlok to Sashtri Nagar,28.67232087,77.17194733,07-07-2019,1,14,1,1,7111,11996,3453,369,1540,164,443,1228,0,26304,"28.672623333248556, 77.16992805023638","28.671585058068384, 77.17380525649558",25.45263158,26.86666667,27.9,28.44705882,32.97272727,34.54285714,29.016,25.0137931,23.4,21.02608696,17.06823529,15.94285714,16.12,17.47951807,17.06823529,18.6,18.36455696,17.69268293,16.86976744,16.48636364,16.12,19.60540541,23.4,23.78360656,22.05162709,2879.225261,1212.01
80,81,Nehru Place  to  Moolchand,28.5552796,77.24195619,04-07-2019,1,10,0,0,5952,5940,2482,175,139,15,467,717,0,15887,"28.55409417530814, 77.24347515677847","28.556672982564127, 77.24064921058525",29.53469388,28.944,32.16,31.46086957,30.79148936,35.29756098,33.65581395,27.83076923,26.8,22.6125,20.38309859,18.55384615,16.63448276,18.79480519,17.22857143,19.04210526,19.296,18.09,16.82790698,17.43614458,20.67428571,23.72459016,25.38947368,30.79148936,24.24810403,3806.028566,2497.84
84,86,Kailash Colony to Moolchand,28.5703018,77.23590298,09-07-2019,1,10,0,0,17134,8730,3080,268,373,87,133,140,0,29945,"28.568718669236894, 77.23497452149027","28.57197294195762, 77.23683270200796",41.65714286,41.65714286,42.88235294,45.5625,50.27586207,52.07142857,50.27586207,47.03225806,44.18181818,33.13636364,30.375,33.90697674,33.13636364,35.56097561,33.90697674,33.90697674,32.4,31.0212766,26.03571429,23.14285714,31.0212766,36.45,39.40540541,44.18181818,38.04934787,1541.816914,1757
88,90,Raja Nahar Singh Marg to Inderlok,28.674614,77.1686924,,1,8,0,0,3629,5167,1489,139,487,69,427,158,0,11565,"28.67623263480544, 77.16778320313763","28.673001813967637, 77.16954539131474",28.16470588,29.925,29.31428571,29.925,31.92,32.64545455,29.31428571,25.65,24.34576271,22.44375,19.95,18.18227848,19.95,21.12352941,21.12352941,22.8,23.16774194,22.44375,20.8173913,20.52,20.52,22.8,25.65,26.6,24.55401938,4042.789928,1255.21
90,82,inderlok to inderlok metro station,28.6716918,77.1678151,05-07-2019,1,13,0,0,4282,8246,2434,361,867,165,184,1026,0,17565,"28.67076175212936, 77.16607564725636","28.67257839322336, 77.16962124915047",23.78360656,25.45263158,26.37818182,25.90714286,25.90714286,26.37818182,25.45263158,24.18,22.32,20.72571429,17.91111111,17.47951807,16.48636364,17.06823529,17.06823529,17.91111111,17.47951807,14.22352941,12.72631579,13.5588785,14.65454545,17.47951807,21.02608696,21.98181818,20.14750076,3950.564893,627
93,76,Nirman vihar to ITO,28.63005516,77.27700627,08-07-2019,1,11,0,0,6441,10111,3060,461,65,24,242,810,0,21214,"28.631183149967065, 77.27865236155587","28.628993763996906, 77.27537047403042",21.28235294,24.12,25.38947368,27.30566038,28.944,27.83076923,24.95172414,22.26461538,20.67428571,20.97391304,18.55384615,17.43614458,18.09,18.31898734,17.22857143,19.04210526,17.22857143,16.63448276,15.075,14.61818182,14.76734694,16.63448276,17.64878049,21.6,20.27555398,7253.500464,1108
